,l,K,res_frac,t_10
0,1.0000000000000002e-06,1000000.0,2.2838670723295597e-09,0.0
1,1.0000000000000002e-06,1047370.8979594486,2.4074761274838493e-09,0.0
2,1.0000000000000002e-06,1096985.797892384,2.544780292088925e-09,0.0
3,1.0000000000000002e-06,1148951.0001873085,2.6999169371470114e-09,0.0
4,1.0000000000000002e-06,1203377.8407775904,2.8751060018249676e-09,0.0
5,1.0000000000000002e-06,1260382.9296797274,3.074415381576385e-09,0.0
6,1.0000000000000002e-06,1320088.4008314167,3.3027389642467697e-09,0.0
7,1.0000000000000002e-06,1382622.1737646563,3.5663747772768418e-09,0.0
8,1.0000000000000002e-06,1448118.227674533,3.873375946317758e-09,0.0
9,1.0000000000000002e-06,1516716.888470924,4.23387281138604e-09,0.0
10,1.0000000000000002e-06,1588565.1294280528,4.663993491038477e-09,0.0
11,1.0000000000000002e-06,1663816.8860761274,5.182135911615211e-09,0.0
12,1.0000000000000002e-06,1742633.3860096508,5.816331553179126e-09,0.0
13,1.0000000000000002e-06,1825183.4943190424,6.613031894424413e-09,0.0
14,1.0000000000000002e-06,1911644.0753857037,7.626188223746678e-09,0.0
15,1.0000000000000002e-06,2002200.3718155844,8.967942156722016e-09,0.0
16,1.0000000000000002e-06,2097046.4013232307,1.0809081396343058e-08,0.0
17,1.0000000000000002e-06,2196385.372416547,1.347725880512856e-08,0.0
18,1.0000000000000002e-06,2300430.1197729167,1.7637704629595332e-08,0.0
19,1.0000000000000002e-06,2409403.560239527,2.4878940778363746e-08,0.0
20,1.0000000000000002e-06,2523539.170434766,3.9606781314219655e-08,0.0
21,1.0000000000000002e-06,2643081.486974103,7.66665597632465e-08,0.0
22,1.0000000000000002e-06,2768286.6303920667,1.9671402000065165e-07,0.0
23,1.0000000000000002e-06,2899422.8538828753,6.974783578132073e-07,0.0
24,1.0000000000000002e-06,3036771.1180354604,3.2652333772306864e-06,0.0
25,1.0000000000000002e-06,3180625.692794119,1.9661589323171674e-05,0.0
26,1.0000000000000002e-06,3331294.78793467,0.00014689925696914096,0.0
27,1.0000000000000002e-06,3489101.2134067737,0.0015439065255342626,0.0
28,1.0000000000000002e-06,3654383.0709572546,0.03611670052019793,0.0
29,1.0000000000000002e-06,3827494.478516315,0.4557263187519949,89.80833333333334
30,1.0000000000000002e-06,4008806.328898465,0.6791063637156772,77.95416666666667
31,1.0000000000000002e-06,4198707.084443905,0.7298567239387653,68.6125
32,1.0000000000000002e-06,4397603.609302721,0.762925452643271,60.916666666666664
33,1.0000000000000002e-06,4605922.041145104,0.7904026541627005,54.675
34,1.0000000000000002e-06,4824108.704165374,0.813858216742,49.4
35,1.0000000000000002e-06,5052631.06533568,0.8339684316694356,44.8875
36,1.0000000000000002e-06,5291978.7359584365,0.8512387877320834,40.99166666666667
37,1.0000000000000002e-06,5542664.520663107,0.8660710957060609,37.65833333333333
38,1.0000000000000002e-06,5805225.516094896,0.878840688850185,34.67916666666667
39,1.0000000000000002e-06,6080224.261649427,0.8898596647621456,32.0
40,1.0000000000000002e-06,6368249.944718586,0.8993597998388183,29.7
41,1.0000000000000002e-06,6669919.663030115,0.9075539159806149,27.59583333333333
42,1.0000000000000002e-06,6985879.746785249,0.9145961628914335,25.695833333333333
43,1.0000000000000002e-06,7316807.143427192,0.920681071770021,23.9625
44,1.0000000000000002e-06,7663410.8680074625,0.9259257749880035,22.441666666666666
45,1.0000000000000002e-06,8026433.522257173,0.9304364851348054,20.958333333333332
46,1.0000000000000002e-06,8406652.885618316,0.9343266257154058,19.679166666666667
47,1.0000000000000002e-06,8804883.581643464,0.9376592613372982,18.466666666666665
48,1.0000000000000002e-06,9221978.823334321,0.9405119534068261,17.34583333333333
49,1.0000000000000002e-06,9658832.241158709,0.9429519855787185,16.3125
50,1.0000000000000002e-06,10116379.79766207,0.9450439746726722,15.354166666666666
51,1.0000000000000002e-06,10595601.792776149,0.9468492055376486,14.466666666666667
52,1.0000000000000002e-06,11097524.964120721,0.9484382859440443,13.6375
53,1.0000000000000002e-06,11623224.686798519,0.9498789632437158,12.845833333333333
54,1.0000000000000002e-06,12173827.277396621,0.9512541271602748,12.116666666666667
55,1.0000000000000002e-06,12750512.407130128,0.9526540374117318,11.475
56,1.0000000000000002e-06,13354515.629298974,0.9542007942282212,10.825
57,1.0000000000000002e-06,13987131.026472386,0.9559428901269691,10.241666666666667
58,1.0000000000000002e-06,14649713.983072849,0.9580813480089623,9.7
59,1.0000000000000002e-06,15343684.089300131,0.9606569669018802,9.166666666666666
60,1.0000000000000002e-06,16070528.182616385,0.9637071950288516,8.695833333333333
61,1.0000000000000002e-06,16831803.53330955,0.9672011490906606,8.233333333333333
62,1.0000000000000002e-06,17629141.180959478,0.9711763768027047,7.804166666666666
63,1.0000000000000002e-06,18464249.428955425,0.9753176659241864,7.416666666666667
64,1.0000000000000002e-06,19338917.50455232,0.9794952708871073,6.991666666666666
65,1.0000000000000002e-06,20255019.392306663,0.9835200720637248,6.683333333333334
66,1.0000000000000002e-06,21214517.84910628,0.9872096829610322,6.354166666666667
67,1.0000000000000002e-06,22219468.60939524,0.9904554991860398,5.991666666666666
68,1.0000000000000002e-06,23272024.78960407,0.9930890651245258,5.7375
69,1.0000000000000002e-06,24374441.501222216,0.9951380241356761,5.470833333333333
70,1.0000000000000002e-06,25529080.682395164,0.996698471119113,5.191666666666666
71,1.0000000000000002e-06,26738416.15839944,0.9978647227677989,4.929166666666666
72,1.0000000000000002e-06,28005038.94183631,0.9986662180503245,4.725
73,1.0000000000000002e-06,29331662.783900425,0.9991680943768452,4.520833333333333
74,1.0000000000000002e-06,30721129.98861759,0.999480115267376,4.3125
75,1.0000000000000002e-06,32176417.502507355,0.9996664836486753,4.095833333333333
76,1.0000000000000002e-06,33700643.292719245,0.9997783916993728,3.9166666666666665
77,1.0000000000000002e-06,35297073.027306505,0.9998437345233399,3.7708333333333335
78,1.0000000000000002e-06,36969127.071950324,0.9998796477342266,3.6166666666666667
79,1.0000000000000002e-06,38720387.81812557,0.9998975053583922,3.466666666666667
80,1.0000000000000002e-06,40554607.35840828,0.9999056963409916,3.3208333333333333
81,1.0000000000000002e-06,42475715.525368944,0.999909223363233,3.175
82,1.0000000000000002e-06,44487828.311275855,0.9999107068583376,3.0375
83,1.0000000000000002e-06,46595256.68664687,0.9999113241017472,2.9291666666666667
84,1.0000000000000002e-06,48802515.836544335,0.9999115937837899,2.841666666666667
85,1.0000000000000002e-06,51114334.83440165,0.9999117234024827,2.7541666666666664
86,1.0000000000000002e-06,53535666.77410719,0.9999117942244695,2.6666666666666665
87,1.0000000000000002e-06,56071699.38205458,0.9999118535697824,2.5791666666666666
88,1.0000000000000002e-06,58727866.13189489,0.9999119008080812,2.495833333333333
89,1.0000000000000002e-06,61509857.88580504,0.999911958078028,2.4125
90,1.0000000000000002e-06,64423635.0872137,0.9999120174284578,2.3291666666666666
91,1.0000000000000002e-06,67475440.53110686,0.9999120890993592,2.2541666666666664
92,1.0000000000000002e-06,70671812.73927492,0.9999121632093659,2.175
93,1.0000000000000002e-06,74019599.96915652,0.9999122351037752,2.1041666666666665
94,1.0000000000000002e-06,77525974.88629465,0.9999123096125843,2.033333333333333
95,1.0000000000000002e-06,81198449.93184009,0.9999123847902736,1.9749999999999999
96,1.0000000000000002e-06,85044893.41802669,0.9999124598902082,1.9333333333333333
97,1.0000000000000002e-06,89073546.3861044,0.999912533402129,1.8916666666666666
98,1.0000000000000002e-06,93293040.26284696,0.9999126046430682,1.8541666666666667
99,1.0000000000000002e-06,97712415.35346502,0.9999126793483065,1.8166666666666667
100,1.0000000000000002e-06,102341140.21054527,0.9999127461587695,1.7833333333333332
101,1.0000000000000002e-06,107189131.92051265,0.9999128142961926,1.75
102,1.0000000000000002e-06,112266777.35108113,0.9999128830091729,1.7166666666666666
103,1.0000000000000002e-06,117584955.40521581,0.9999129478388709,1.6833333333333333
104,1.0000000000000002e-06,123155060.32928261,0.9999130195139309,1.6541666666666666
105,1.0000000000000002e-06,128989026.1253308,0.9999130828524497,1.6291666666666667
106,1.0000000000000002e-06,135099352.1198025,0.999913148419458,1.6
107,1.0000000000000002e-06,141499129.74345788,0.9999132095807209,1.575
108,1.0000000000000002e-06,148202070.57988602,0.9999132716907881,1.55
109,1.0000000000000002e-06,155222535.7427048,0.9999133361333666,1.5291666666666666
110,1.0000000000000002e-06,162575566.64437935,0.9999133930228731,1.5083333333333333
111,1.0000000000000002e-06,170276917.2225898,0.999913447654532,1.4875
112,1.0000000000000002e-06,178343087.69319057,0.9999135033007098,1.4666666666666666
113,1.0000000000000002e-06,186791359.90207848,0.9999135615682395,1.4458333333333333
114,1.0000000000000002e-06,195639834.35170648,0.9999136164868053,1.4291666666666667
115,1.0000000000000002e-06,204907468.9815846,0.999913668595529,1.4125
116,1.0000000000000002e-06,214614119.78584015,0.9999137168371266,1.3958333333333333
117,1.0000000000000002e-06,224780583.354873,0.9999137700617505,1.3791666666666667
118,1.0000000000000002e-06,235428641.43224204,0.9999138203895547,1.3625
119,1.0000000000000002e-06,246581107.5822604,0.9999138678586732,1.35
120,1.0000000000000002e-06,258261876.06826746,0.999913916031096,1.3333333333333333
121,1.0000000000000002e-06,270495973.04631317,0.9999139615397489,1.3208333333333333
122,1.0000000000000002e-06,283309610.1839318,0.9999140043277608,1.3083333333333333
123,1.0000000000000002e-06,296730240.81888723,0.9999140477868179,1.2958333333333334
124,1.0000000000000002e-06,310786618.7782014,0.9999140915599039,1.2875
125,1.0000000000000002e-06,325508859.98350567,0.9999141382057082,1.275
126,1.0000000000000002e-06,340928506.9746808,0.9999141762270721,1.2666666666666666
127,1.0000000000000002e-06,357078596.490047,0.9999142133633854,1.2541666666666667
128,1.0000000000000002e-06,373993730.24788016,0.9999142544157269,1.2458333333333333
129,1.0000000000000002e-06,391710149.08092606,0.9999142918799131,1.2375
130,1.0000000000000002e-06,410265810.582719,0.9999143299118494,1.2291666666666667
131,1.0000000000000002e-06,429700470.4320835,0.9999143653718687,1.2208333333333332
132,1.0000000000000002e-06,450055767.5700488,0.9999143972671677,1.2125
133,1.0000000000000002e-06,471375313.4116729,0.9999144330600671,1.2041666666666666
134,1.0000000000000002e-06,493704785.2839004,0.9999144606645445,1.1958333333333333
135,1.0000000000000002e-06,517092024.28967553,0.9999144923098852,1.1916666666666667
136,1.0000000000000002e-06,541587137.8079466,0.9999145248640339,1.1833333333333333
137,1.0000000000000002e-06,567242606.8491989,0.9999145568124022,1.1791666666666667
138,1.0000000000000002e-06,594113398.496504,0.9999145849162507,1.1708333333333334
139,1.0000000000000002e-06,622257083.6730231,0.999914610231387,1.1666666666666667
140,1.0000000000000002e-06,651733960.488242,0.9999146369979311,1.1625
141,1.0000000000000002e-06,682607183.4272379,0.9999146640613832,1.1541666666666666
142,1.0000000000000002e-06,714942898.6597562,0.9999146896814088,1.15
143,1.0000000000000002e-06,748810385.759003,0.9999147160330025,1.1458333333333333
144,1.0000000000000002e-06,784282206.1337682,0.9999147389690397,1.1416666666666666
145,1.0000000000000002e-06,821434358.4919422,0.9999147643177642,1.1375
146,1.0000000000000002e-06,860346441.6684492,0.9999147853617246,1.1333333333333333
147,1.0000000000000002e-06,901101825.1665037,0.9999148091020084,1.1291666666666667
148,1.0000000000000002e-06,943787827.7775391,0.9999148295567064,1.125
149,1.0000000000000002e-06,988495904.6625586,0.9999148493774535,1.1208333333333333
150,1.0000000000000002e-06,1035321843.2956616,0.9999148702837253,1.1208333333333333
151,1.0000000000000002e-06,1084365968.6896086,0.9999148924590433,1.1166666666666667
152,1.0000000000000002e-06,1135733358.343103,0.9999149089530798,1.1125
153,1.0000000000000002e-06,1189534067.3703208,0.9999149265302716,1.1083333333333334
154,1.0000000000000002e-06,1245883364.2950082,0.9999149449554636,1.1083333333333334
155,1.0000000000000002e-06,1304901978.0144017,0.9999149599658357,1.1041666666666667
156,1.0000000000000002e-06,1366716356.4620101,0.9999149777597431,1.1
157,1.0000000000000002e-06,1431458937.5234814,0.9999149934497628,1.1
158,1.0000000000000002e-06,1499268432.7860472,0.9999150068586585,1.0958333333333332
159,1.0000000000000002e-06,1570290124.7293775,0.9999150161632758,1.0958333333333332
160,1.0000000000000002e-06,1644676177.9946628,0.999915034216094,1.0916666666666666
161,1.0000000000000002e-06,1722585965.398784,0.9999150438547514,1.0916666666666666
162,1.0000000000000002e-06,1804186409.3920681,0.9999150566216997,1.0875
163,1.0000000000000002e-06,1889652339.6912115,0.999915068642384,1.0875
164,1.0000000000000002e-06,1979166867.8535573,0.9999150836386088,1.0833333333333333
165,1.0000000000000002e-06,2072921779.5953698,0.9999150942042742,1.0833333333333333
166,1.0000000000000002e-06,2171117945.6945095,0.9999151021234749,1.0791666666666666
167,1.0000000000000002e-06,2273965752.357932,0.9999151116760452,1.0791666666666666
168,1.0000000000000002e-06,2381685551.9761605,0.9999151220918443,1.0791666666666666
169,1.0000000000000002e-06,2494508135.2303166,0.9999151356095908,1.075
170,1.0000000000000002e-06,2612675225.5633264,0.9999151462637178,1.075
171,1.0000000000000002e-06,2736439997.0746665,0.9999151533711795,1.075
172,1.0000000000000002e-06,2866067616.9482446,0.9999151608948563,1.075
173,1.0000000000000002e-06,3001835813.575592,0.9999151680759805,1.0708333333333333
