,c,h,res_frac,t_10
74,0.01,3.072112998861758e-08,1.0,1.8375
75,0.01,3.217641750250738e-08,1.0,1.8375
76,0.01,3.3700643292719294e-08,1.0,1.8333333333333333
77,0.01,3.529707302730651e-08,1.0,1.8333333333333333
78,0.01,3.696912707195029e-08,1.0,1.8333333333333333
79,0.01,3.872038781812556e-08,1.0,1.8333333333333333
80,0.01,4.0554607358408305e-08,1.0,1.8333333333333333
81,0.01,4.2475715525369e-08,1.0,1.8333333333333333
82,0.01,4.448782831127586e-08,1.0,1.8291666666666666
83,0.01,4.659525668664683e-08,1.0,1.8291666666666666
84,0.01,4.880251583654432e-08,1.0,1.8291666666666666
85,0.01,5.1114334834401685e-08,1.0,1.8291666666666666
86,0.01,5.353566677410725e-08,1.0,1.825
87,0.01,5.6071699382054595e-08,1.0,1.825
88,0.01,5.8727866131894834e-08,1.0,1.825
89,0.01,6.150985788580502e-08,1.0,1.8208333333333333
90,0.01,6.442363508721375e-08,1.0,1.8208333333333333
91,0.01,6.747544053110695e-08,1.0,1.8166666666666667
92,0.01,7.067181273927493e-08,1.0,1.8166666666666667
93,0.01,7.401959996915646e-08,1.0,1.8125
94,0.01,7.752597488629462e-08,1.0,1.8125
95,0.01,8.119844993184015e-08,1.0,1.8083333333333333
96,0.01,8.504489341802679e-08,1.0,1.8041666666666667
97,0.01,8.907354638610442e-08,1.0,1.8041666666666667
98,0.01,9.329304026284688e-08,1.0,1.8
99,0.01,9.771241535346499e-08,1.0,1.7916666666666667
100,0.01,1.0234114021054531e-07,1.0,1.7874999999999999
101,0.01,1.0718913192051278e-07,1.0,1.7791666666666666
102,0.01,1.1226677735108137e-07,1.0,1.7708333333333333
103,0.01,1.1758495540521572e-07,1.0,1.7625
104,0.01,1.2315506032928263e-07,1.0,1.7458333333333333
105,0.01,1.2898902612533084e-07,1.0,1.7291666666666667
106,0.01,1.3509935211980266e-07,1.0,1.7083333333333333
107,0.01,1.4149912974345763e-07,1.0,1.6833333333333333
108,0.01,1.4820207057988588e-07,1.0,1.6458333333333333
109,0.01,1.5522253574270482e-07,1.0,1.6041666666666667
110,0.01,1.6257556664437955e-07,1.0,1.5541666666666667
111,0.01,1.7027691722259e-07,1.0,1.4958333333333333
112,0.01,1.7834308769319098e-07,1.0,1.4333333333333333
113,0.01,1.867913599020783e-07,1.0,1.3708333333333333
114,0.01,1.9563983435170653e-07,1.0,1.3041666666666667
115,0.01,2.0490746898158485e-07,1.0,1.2375
116,0.01,2.146141197858404e-07,1.0,1.175
117,0.01,2.2478058335487258e-07,1.0,1.1125
118,0.01,2.3542864143224184e-07,1.0,1.05
119,0.01,2.465811075822604e-07,1.0,0.9916666666666667
120,0.01,2.582618760682678e-07,1.0,0.95
121,0.01,2.704959730463135e-07,1.0,0.9125
122,0.01,2.8330961018393244e-07,1.0,0.875
123,0.01,2.96730240818887e-07,1.0,0.8375
124,0.01,3.1078661877820147e-07,1.0,0.8041666666666667
125,0.01,3.2550885998350605e-07,1.0,0.7708333333333334
126,0.01,3.409285069746812e-07,1.0,0.7375
127,0.01,3.570785964900463e-07,1.0,0.7083333333333334
128,0.01,3.7399373024787986e-07,1.0,0.6791666666666667
129,0.01,3.917101490809261e-07,1.0,0.65
130,0.01,4.1026581058271957e-07,1.0,0.625
131,0.01,4.29700470432084e-07,1.0,0.6
132,0.01,4.500557675700499e-07,1.0,0.575
133,0.01,4.7137531341167254e-07,1.0,0.55
134,0.01,4.937047852839005e-07,1.0,0.5291666666666667
135,0.01,5.170920242896761e-07,1.0,0.5041666666666667
136,0.01,5.415871378079472e-07,1.0,0.48333333333333334
137,0.01,5.672426068491979e-07,1.0,0.46249999999999997
138,0.01,5.941133984965035e-07,1.0,0.4458333333333333
139,0.01,6.222570836730233e-07,1.0,0.425
140,0.01,6.517339604882428e-07,1.0,0.4083333333333333
141,0.01,6.826071834272388e-07,1.0,0.39166666666666666
142,0.01,7.149428986597579e-07,1.0,0.375
143,0.01,7.488103857590024e-07,1.0,0.35833333333333334
144,0.01,7.842822061337683e-07,1.0,0.3458333333333333
145,0.01,8.214343584919432e-07,1.0,0.32916666666666666
146,0.01,8.603464416684503e-07,1.0,0.31666666666666665
147,0.01,9.011018251665021e-07,1.0,0.30416666666666664
148,0.01,9.437878277775383e-07,1.0,0.2916666666666667
149,0.01,9.884959046625588e-07,1.0,0.2791666666666667
150,0.01,1.035321843295663e-06,1.0,0.26666666666666666
151,0.01,1.0843659686896112e-06,1.0,0.2583333333333333
152,0.01,1.1357333583431054e-06,1.0,0.24583333333333332
153,0.01,1.1895340673703199e-06,1.0,0.2375
154,0.01,1.2458833642950085e-06,1.0,0.225
155,0.01,1.3049019780144031e-06,1.0,0.21666666666666667
156,0.01,1.3667163564620076e-06,1.0,0.20833333333333334
157,0.01,1.4314589375234788e-06,1.0,0.2
158,0.01,1.499268432786046e-06,1.0,0.19166666666666665
159,0.01,1.570290124729378e-06,1.0,0.18333333333333332
160,0.01,1.6446761779946648e-06,1.0,0.175
161,0.01,1.7225859653987878e-06,1.0,0.17083333333333334
162,0.01,1.8041864093920722e-06,1.0,0.1625
163,0.01,1.88965233969121e-06,1.0,0.15416666666666667
164,0.01,1.9791668678535575e-06,1.0,0.15
165,0.01,2.0729217795953723e-06,1.0,0.14166666666666666
166,0.01,2.1711179456945056e-06,1.0,0.1375
167,0.01,2.273965752357928e-06,1.0,0.13333333333333333
168,0.01,2.3816855519761587e-06,1.0,0.125
169,0.01,2.494508135230317e-06,1.0,0.12083333333333333
170,0.01,2.6126752255633296e-06,1.0,0.11666666666666667
171,0.01,2.7364399970746726e-06,1.0,0.1125
172,0.01,2.866067616948251e-06,1.0,0.10833333333333334
173,0.01,3.0018358135755894e-06,1.0,0.10416666666666667
174,0.01,3.144035471591501e-06,1.0,0.1
175,0.01,3.2929712550971522e-06,1.0,0.09583333333333333
176,0.01,3.44896226040576e-06,1.0,0.09166666666666666
177,0.01,3.6123426997094313e-06,1.0,0.0875
178,0.01,3.78346261713193e-06,1.0,0.08333333333333333
179,0.01,3.9626886387014795e-06,1.0,0.07916666666666666
180,0.01,4.150404757850477e-06,1.0,0.07916666666666666
181,0.01,4.347013158125028e-06,1.0,0.075
182,0.01,4.552935074866949e-06,1.0,0.07083333333333333
183,0.01,4.7686116977144705e-06,1.0,0.07083333333333333
184,0.01,4.994505115855141e-06,1.0,0.06666666666666667
185,0.01,5.231099308056264e-06,1.0,0.0625
186,0.01,5.478901179593947e-06,1.0,0.0625
187,0.01,5.738441648302394e-06,1.0,0.058333333333333334
188,0.01,6.010276782070383e-06,1.0,0.058333333333333334
189,0.01,6.2949889902218896e-06,1.0,0.05416666666666667
190,0.01,6.59318827133355e-06,1.0,0.05416666666666667
191,0.01,6.9055135201623314e-06,1.0,0.05
192,0.01,7.232633896483535e-06,1.0,0.05
193,0.01,7.575250258771914e-06,1.0,0.04583333333333333
194,0.01,7.934096665797493e-06,1.0,0.04583333333333333
195,0.01,8.309941949353398e-06,1.0,0.041666666666666664
196,0.01,8.703591361485167e-06,1.0,0.041666666666666664
197,0.01,9.115888299750829e-06,1.0,0.041666666666666664
198,0.01,9.547716114208058e-06,1.0,0.0375
199,0.01,1.0000000000000003e-05,1.0,0.0375
200,0.010473708979594498,1.0000000000000003e-09,1.0,1.8458333333333332
201,0.010473708979594498,1.04737089795945e-09,1.0,1.8458333333333332
202,0.010473708979594498,1.0969857978923838e-09,1.0,1.8458333333333332
203,0.010473708979594498,1.1489510001873094e-09,1.0,1.8458333333333332
204,0.010473708979594498,1.2033778407775896e-09,1.0,1.8458333333333332
205,0.010473708979594498,1.2603829296797278e-09,1.0,1.8458333333333332
206,0.010473708979594498,1.3200884008314183e-09,1.0,1.8458333333333332
207,0.010473708979594498,1.382622173764656e-09,1.0,1.8458333333333332
208,0.010473708979594498,1.448118227674534e-09,1.0,1.8458333333333332
209,0.010473708979594498,1.5167168884709228e-09,1.0,1.8458333333333332
210,0.010473708979594498,1.588565129428053e-09,1.0,1.8458333333333332
211,0.010473708979594498,1.6638168860761293e-09,1.0,1.8458333333333332
212,0.010473708979594498,1.7426333860096503e-09,1.0,1.8458333333333332
213,0.010473708979594498,1.8251834943190437e-09,1.0,1.8458333333333332
214,0.010473708979594498,1.911644075385702e-09,1.0,1.8416666666666666
215,0.010473708979594498,2.0022003718155847e-09,1.0,1.8416666666666666
216,0.010473708979594498,2.0970464013232334e-09,1.0,1.8416666666666666
217,0.010473708979594498,2.1963853724165465e-09,1.0,1.8416666666666666
218,0.010473708979594498,2.300430119772919e-09,1.0,1.8416666666666666
219,0.010473708979594498,2.409403560239525e-09,1.0,1.8416666666666666
220,0.010473708979594498,2.5235391704347665e-09,1.0,1.8416666666666666
221,0.010473708979594498,2.6430814869741065e-09,1.0,1.8416666666666666
222,0.010473708979594498,2.7682866303920673e-09,1.0,1.8416666666666666
223,0.010473708979594498,2.899422853882877e-09,1.0,1.8416666666666666
224,0.010473708979594498,3.036771118035458e-09,1.0,1.8416666666666666
225,0.010473708979594498,3.18062569279412e-09,1.0,1.8416666666666666
226,0.010473708979594498,3.3312947879346744e-09,1.0,1.8416666666666666
227,0.010473708979594498,3.4891012134067745e-09,1.0,1.8416666666666666
228,0.010473708979594498,3.6543830709572574e-09,1.0,1.8416666666666666
229,0.010473708979594498,3.827494478516312e-09,1.0,1.8416666666666666
230,0.010473708979594498,4.0088063288984654e-09,1.0,1.8416666666666666
231,0.010473708979594498,4.198707084443911e-09,1.0,1.8416666666666666
232,0.010473708979594498,4.397603609302722e-09,1.0,1.8416666666666666
233,0.010473708979594498,4.605922041145107e-09,1.0,1.8416666666666666
234,0.010473708979594498,4.82410870416537e-09,1.0,1.8416666666666666
235,0.010473708979594498,5.052631065335681e-09,1.0,1.8416666666666666
236,0.010473708979594498,5.291978735958443e-09,1.0,1.8416666666666666
237,0.010473708979594498,5.542664520663108e-09,1.0,1.8416666666666666
238,0.010473708979594498,5.8052255160949e-09,1.0,1.8416666666666666
239,0.010473708979594498,6.080224261649425e-09,1.0,1.8416666666666666
240,0.010473708979594498,6.368249944718587e-09,1.0,1.8416666666666666
241,0.010473708979594498,6.669919663030123e-09,1.0,1.8416666666666666
242,0.010473708979594498,6.9858797467852504e-09,1.0,1.8416666666666666
243,0.010473708979594498,7.316807143427197e-09,1.0,1.8416666666666666
244,0.010473708979594498,7.66341086800746e-09,1.0,1.8416666666666666
245,0.010473708979594498,8.026433522257176e-09,1.0,1.8416666666666666
246,0.010473708979594498,8.406652885618327e-09,1.0,1.8416666666666666
247,0.010473708979594498,8.804883581643467e-09,1.0,1.8416666666666666
248,0.010473708979594498,9.22197882333433e-09,1.0,1.8416666666666666
249,0.010473708979594498,9.658832241158706e-09,1.0,1.8416666666666666
250,0.010473708979594498,1.0116379797662073e-08,1.0,1.8416666666666666
251,0.010473708979594498,1.0595601792776162e-08,1.0,1.8416666666666666
252,0.010473708979594498,1.1097524964120724e-08,1.0,1.8416666666666666
253,0.010473708979594498,1.1623224686798526e-08,1.0,1.8416666666666666
254,0.010473708979594498,1.2173827277396616e-08,1.0,1.8416666666666666
255,0.010473708979594498,1.2750512407130138e-08,1.0,1.8416666666666666
256,0.010473708979594498,1.3354515629298991e-08,1.0,1.8416666666666666
257,0.010473708979594498,1.3987131026472389e-08,1.0,1.8416666666666666
258,0.010473708979594498,1.464971398307286e-08,1.0,1.8416666666666666
259,0.010473708979594498,1.534368408930013e-08,1.0,1.8375
260,0.010473708979594498,1.6070528182616396e-08,1.0,1.8375
261,0.010473708979594498,1.683180353330957e-08,1.0,1.8375
262,0.010473708979594498,1.7629141180959484e-08,1.0,1.8375
263,0.010473708979594498,1.846424942895544e-08,1.0,1.8375
264,0.010473708979594498,1.9338917504552316e-08,1.0,1.8375
265,0.010473708979594498,2.025501939230668e-08,1.0,1.8375
266,0.010473708979594498,2.1214517849106302e-08,1.0,1.8375
267,0.010473708979594498,2.2219468609395242e-08,1.0,1.8375
268,0.010473708979594498,2.327202478960409e-08,1.0,1.8375
269,0.010473708979594498,2.437444150122221e-08,1.0,1.8375
270,0.010473708979594498,2.5529080682395182e-08,1.0,1.8375
271,0.010473708979594498,2.673841615839947e-08,1.0,1.8375
272,0.010473708979594498,2.8005038941836313e-08,1.0,1.8333333333333333
273,0.010473708979594498,2.9331662783900444e-08,1.0,1.8333333333333333
274,0.010473708979594498,3.072112998861758e-08,1.0,1.8333333333333333
275,0.010473708979594498,3.217641750250738e-08,1.0,1.8333333333333333
276,0.010473708979594498,3.3700643292719294e-08,1.0,1.8333333333333333
277,0.010473708979594498,3.529707302730651e-08,1.0,1.8333333333333333
278,0.010473708979594498,3.696912707195029e-08,1.0,1.8333333333333333
279,0.010473708979594498,3.872038781812556e-08,1.0,1.8291666666666666
280,0.010473708979594498,4.0554607358408305e-08,1.0,1.8291666666666666
281,0.010473708979594498,4.2475715525369e-08,1.0,1.8291666666666666
282,0.010473708979594498,4.448782831127586e-08,1.0,1.8291666666666666
283,0.010473708979594498,4.659525668664683e-08,1.0,1.8291666666666666
284,0.010473708979594498,4.880251583654432e-08,1.0,1.825
285,0.010473708979594498,5.1114334834401685e-08,1.0,1.825
286,0.010473708979594498,5.353566677410725e-08,1.0,1.825
287,0.010473708979594498,5.6071699382054595e-08,1.0,1.8208333333333333
288,0.010473708979594498,5.8727866131894834e-08,1.0,1.8208333333333333
289,0.010473708979594498,6.150985788580502e-08,1.0,1.8208333333333333
290,0.010473708979594498,6.442363508721375e-08,1.0,1.8166666666666667
291,0.010473708979594498,6.747544053110695e-08,1.0,1.8166666666666667
292,0.010473708979594498,7.067181273927493e-08,1.0,1.8125
293,0.010473708979594498,7.401959996915646e-08,1.0,1.8125
294,0.010473708979594498,7.752597488629462e-08,1.0,1.8083333333333333
295,0.010473708979594498,8.119844993184015e-08,1.0,1.8083333333333333
296,0.010473708979594498,8.504489341802679e-08,1.0,1.8041666666666667
297,0.010473708979594498,8.907354638610442e-08,1.0,1.8
298,0.010473708979594498,9.329304026284688e-08,1.0,1.7958333333333334
299,0.010473708979594498,9.771241535346499e-08,1.0,1.7916666666666667
300,0.010473708979594498,1.0234114021054531e-07,1.0,1.7833333333333332
301,0.010473708979594498,1.0718913192051278e-07,1.0,1.7791666666666666
302,0.010473708979594498,1.1226677735108137e-07,1.0,1.7708333333333333
303,0.010473708979594498,1.1758495540521572e-07,1.0,1.7583333333333333
304,0.010473708979594498,1.2315506032928263e-07,1.0,1.7458333333333333
305,0.010473708979594498,1.2898902612533084e-07,1.0,1.7291666666666667
306,0.010473708979594498,1.3509935211980266e-07,1.0,1.7041666666666666
307,0.010473708979594498,1.4149912974345763e-07,1.0,1.6791666666666667
308,0.010473708979594498,1.4820207057988588e-07,1.0,1.6458333333333333
309,0.010473708979594498,1.5522253574270482e-07,1.0,1.6041666666666667
310,0.010473708979594498,1.6257556664437955e-07,1.0,1.55
311,0.010473708979594498,1.7027691722259e-07,1.0,1.4916666666666667
312,0.010473708979594498,1.7834308769319098e-07,1.0,1.4291666666666667
313,0.010473708979594498,1.867913599020783e-07,1.0,1.3666666666666667
314,0.010473708979594498,1.9563983435170653e-07,1.0,1.3
315,0.010473708979594498,2.0490746898158485e-07,1.0,1.2375
316,0.010473708979594498,2.146141197858404e-07,1.0,1.1708333333333334
317,0.010473708979594498,2.2478058335487258e-07,1.0,1.1083333333333334
318,0.010473708979594498,2.3542864143224184e-07,1.0,1.0458333333333334
319,0.010473708979594498,2.465811075822604e-07,1.0,0.9874999999999999
320,0.010473708979594498,2.582618760682678e-07,1.0,0.95
321,0.010473708979594498,2.704959730463135e-07,1.0,0.9083333333333333
322,0.010473708979594498,2.8330961018393244e-07,1.0,0.8708333333333333
323,0.010473708979594498,2.96730240818887e-07,1.0,0.8375
324,0.010473708979594498,3.1078661877820147e-07,1.0,0.8041666666666667
325,0.010473708979594498,3.2550885998350605e-07,1.0,0.7708333333333334
326,0.010473708979594498,3.409285069746812e-07,1.0,0.7375
327,0.010473708979594498,3.570785964900463e-07,1.0,0.7083333333333334
328,0.010473708979594498,3.7399373024787986e-07,1.0,0.6791666666666667
329,0.010473708979594498,3.917101490809261e-07,1.0,0.65
330,0.010473708979594498,4.1026581058271957e-07,1.0,0.625
331,0.010473708979594498,4.29700470432084e-07,1.0,0.5958333333333333
332,0.010473708979594498,4.500557675700499e-07,1.0,0.5708333333333333
333,0.010473708979594498,4.7137531341167254e-07,1.0,0.55
334,0.010473708979594498,4.937047852839005e-07,1.0,0.525
335,0.010473708979594498,5.170920242896761e-07,1.0,0.5041666666666667
336,0.010473708979594498,5.415871378079472e-07,1.0,0.48333333333333334
337,0.010473708979594498,5.672426068491979e-07,1.0,0.46249999999999997
338,0.010473708979594498,5.941133984965035e-07,1.0,0.4458333333333333
339,0.010473708979594498,6.222570836730233e-07,1.0,0.425
340,0.010473708979594498,6.517339604882428e-07,1.0,0.4083333333333333
341,0.010473708979594498,6.826071834272388e-07,1.0,0.39166666666666666
342,0.010473708979594498,7.149428986597579e-07,1.0,0.375
343,0.010473708979594498,7.488103857590024e-07,1.0,0.35833333333333334
344,0.010473708979594498,7.842822061337683e-07,1.0,0.3458333333333333
345,0.010473708979594498,8.214343584919432e-07,1.0,0.32916666666666666
346,0.010473708979594498,8.603464416684503e-07,1.0,0.31666666666666665
347,0.010473708979594498,9.011018251665021e-07,1.0,0.30416666666666664
348,0.010473708979594498,9.437878277775383e-07,1.0,0.2916666666666667
349,0.010473708979594498,9.884959046625588e-07,1.0,0.2791666666666667
350,0.010473708979594498,1.035321843295663e-06,1.0,0.26666666666666666
351,0.010473708979594498,1.0843659686896112e-06,1.0,0.2583333333333333
352,0.010473708979594498,1.1357333583431054e-06,1.0,0.24583333333333332
353,0.010473708979594498,1.1895340673703199e-06,1.0,0.2375
